make	probed_nameplate	vehicles	rows	outcome	outcome_live	suggest	raw_samples
Ferrari	488 Gtb	1	1	ferrari/488-gtb	LIVE	ferrari/488-gtb	488 GTB
Ferrari	12CILINDRI Spider	1	1	ferrari/12cilindri-spider	LIVE	ferrari/12cilindri-spider	12Cilindri Spider
Ferrari	12CILINDRI	1	1	ferrari/12cilindri	LIVE	ferrari/12cilindri	12Cilindri
Volkswagen	Golf	1	1	volkswagen/golf	LIVE	volkswagen/golf	GOLF ESTATE 8 2.0 TDI
Volkswagen	Id Buzz 1ST Edition	1	1	volkswagen/id-buzz-1st-edition	no	volkswagen/id-buzz	ID BUZZ 1st EDITION
Volkswagen	Id Buzz First Edition	1	1	volkswagen/id-buzz-first-edition	no	volkswagen/id-buzz	ID BUZZ FIRST EDITION
Volkswagen	Id Buzz Style Swb Pro	1	1	volkswagen/id-buzz-style-swb-pro	no	volkswagen/id-buzz	ID BUZZ STYLE SWB PRO
Volkswagen	Tiguan Allspace	1	1	volkswagen/tiguan-allspace	LIVE	volkswagen/tiguan-allspace	TIGUAN ALLSPACE ESTATE 1.5 TSI
Volkswagen	Tiguan Life 2.0	1	1	DROPPED	no	volkswagen/tiguan	TIGUAN LIFE 2.0 TDI
Volkswagen	Touran Match	1	1	volkswagen/touran-match	no	volkswagen/touran	TOURAN MATCH ESTATE 1.5 TSI
Volt	For Two	1	1	volt/for-two	no		VOLT FOR TWO
Volvo	264GLE	1	1	volvo/264gle	no		264GLE
Daihatsu	Atrai	1	1	daihatsu/atrai	LIVE	daihatsu/atrai	ATRAI RS 2WD
Chevrolet	Trailblazer	1	1	chevrolet/trail-blazer	LIVE		TRAILBLAZER
Volvo	S90L	1	1	volvo/s90l	no		S90L
Chevrolet	Camaro	1	1	chevrolet/camaro	LIVE	chevrolet/camaro	CAMARO COUPE
Chery	EQ1	1	1	chery/eq1	LIVE	chery/eq1	EQ1
BYD	T3	1	1	byd/t3	no		T3
BMW	i8	1	1	bmw/i8	LIVE	bmw/i8	I8
BMW	1 Series	1	1	bmw/1-series	LIVE	bmw/1-series	118i M Sport
Bentley	GT Speed	1	1	bentley/gt-speed	no		GT SPEED CONVERTIBLE
Bentley	Flying Spur Mulliner	1	1	bentley/flying-spur	LIVE	bentley/flying-spur	FLYING SPUR MULLINER HYBRID
Xev	Yoyo Pro	1	1	xev/yoyo-pro	LIVE	xev/yoyo-pro	YOYO PRO
Pocco	Mm Yx	1	1	pocco/mm-yx	no		MM YX
Subaru	Wrx Sti S207	1	1	subaru/wrx-sti-s207	no	subaru/wrx	WRX STI S207
Subaru	Wrx Sti S208NBR Challenge	1	1	subaru/wrx-sti-s208nbr-challenge	no	subaru/wrx	WRX STI S208NBR CHALLENGE
Mitsubishi	Lancer Evolution X Final	1	1	mitsubishi/lancer-evolution-x-final	no	mitsubishi/lancer-evolution	LANCER EVOLUTION X FINAL
Mitsubishi	Lancer Evolution	1	1	mitsubishi/lancer-evolution	LIVE	mitsubishi/lancer-evolution	LANCER EVOLUTION VI GSR TOMMI
Mitsubishi	KH4WGYPZRU	1	1	mitsubishi/kh4wgypzru	no		KH4WGYPZRU
Mitsubishi	KB4TGJNXZPRU	1	1	mitsubishi/kb4tgjnxzpru	no		KB4TGJNXZPRU
Mitsubishi	A03AXTMHRU	1	1	mitsubishi/a03axtmhru	no		A03AXTMHRU
MG	ZS1	1	1	mg/zs	LIVE		ZS1
MG	MG6	1	1	mg/mg6	LIVE	mg/mg6	MG6
McLaren	Artura-Coupe	1	1	mclaren/artura-coupe	no		ARTURA-COUPE
McLaren	Artura Spider	1	1	mclaren/artura-spider	LIVE	mclaren/artura-spider	ARTURA SPIDER
McLaren	Artura	1	1	mclaren/artura	LIVE	mclaren/artura	ARTURA COUPE
Suzuki	Ciaz GL MT	1	1	suzuki/ciaz-gl-mt	no	suzuki/ciaz	CIAZ GL MT
Suzuki	Ciaz Glx 1.25L Cvt	1	1	suzuki/ciaz-glx-1-25l-cvt	no	suzuki/ciaz	CIAZ GLX 1.25L CVT
McLaren	750S	1	1	mclaren/750s	LIVE	mclaren/750s	750S COUPE
Mazda	RX-7 Spirit R Type A	1	1	mazda/rx-7-spirit-r-type-a	no	mazda/rx-7	RX-7 SPIRIT R TYPE A
Mazda	Roadster	1	1	mazda/roadster	LIVE	mazda/roadster	ROADSTER
Mazda	MX-5 Roadster S	1	1	mazda/mx-5-roadster-s	no	mazda/mx-5	MX-5 ROADSTER S
Mazda	MX-5 Roadster Brown Top	1	1	mazda/mx-5-roadster-brown-top	no	mazda/mx-5	MX-5 ROADSTER BROWN TOP
Maserati	Levante Gransport	1	1	maserati/levante	LIVE	maserati/levante	LEVANTE GRANSPORT
Maserati	Levante Diesel Granlusso	1	1	maserati/levante	LIVE	maserati/levante	LEVANTE DIESEL GRANLUSSO
Suzuki	Jimny Nomade Fc 5	1	1	suzuki/jimny-nomade-fc-5	no	suzuki/jimny	JIMNY NOMADE FC 5 DOOR
Maserati	Grecale Trofeo	1	1	maserati/grecale	LIVE	maserati/grecale	GRECALE TROFEO
Maserati	Grecale Modena	1	1	maserati/grecale	LIVE	maserati/grecale	GRECALE MODENA HYBRID
Maserati	Granturismo Sport	1	1	maserati/gran-turismo	LIVE		GRANTURISMO SPORT
Suzuki	Jimny Sierra Jl	1	1	suzuki/jimny-sierra-jl	no	suzuki/jimny-sierra	JIMNY SIERRA JL 4WD
Suzuki	Jimny XC MT	1	1	suzuki/jimny-xc-mt	no	suzuki/jimny	JIMNY XC MT 4WD
Maserati	Granturismo Folgore	1	1	maserati/gran-turismo	LIVE		GRANTURISMO FOLGORE
Suzuki	Jimny	1	1	suzuki/jimny	LIVE	suzuki/jimny	JIMNY XL
Lotus	Emira V6 First Edition	1	1	lotus/emira-v6-first-edition	no	lotus/emira	EMIRA V6 FIRST EDITION
Pocco	Dd L2	1	1	pocco/dd-l2	no		DD L2
Peugeot	5008 P87 Ag	1	1	peugeot/5008-p87-ag	no	peugeot/5008	5008 P87 AG
Proton	Exora	1	1	proton/exora	LIVE	proton/exora	EXORA
Nissan	VVLGRVYD40UHGLD-Ht	1	1	nissan/vvlgrvyd40uhgld-ht	no		VVLGRVYD40UHGLD-HT
Nissan	TDWARFZE12EHA	1	1	nissan/tdwarfze12eha	no		TDWARFZE12EHA-----
Nissan	Skyline GT-R Nismo	1	1	nissan/skyline-gt-r-nismo	no	nissan/skyline-gt-r	SKYLINE GT-R NISMO
Nissan	Sakura G	1	1	nissan/sakura-g	no	nissan/sakura	SAKURA G
Rolls-Royce	Black Badge Cullinan	1	1	rolls-royce/black-badge-cullinan	LIVE	rolls-royce/black-badge-cullinan	Black Badge Cullinan
Nissan	GT-R Trackedition Nismo T-Spec	1	1	nissan/gt-r-trackedition-nismo-t-spec	no	nissan/gt-r	GT-R TRACKEDITION NISMO T-SPEC
Rolls-Royce	Ghost Black Badge	1	1	rolls-royce/ghost-black-badge	LIVE	rolls-royce/ghost-black-badge	GHOST BLACK BADGE
Rolls-Royce	Phantom Extended	1	1	rolls-royce/phantom-extended	LIVE	rolls-royce/phantom-extended	Phantom Extended
Rolls-Royce	Phantom	1	1	rolls-royce/phantom	LIVE	rolls-royce/phantom	PHANTOM
Rolls-Royce	Silver Cloud	1	1	rolls-royce/silver-cloud	LIVE	rolls-royce/silver-cloud	SILVER CLOUD
Nissan	GT-R Track Edition T-Spec	1	1	nissan/gt-r-track-edition-t-spec	no	nissan/gt-r	GT-R TRACK EDITION T-SPEC
Rover	Mini	1	1	rover/mini	LIVE	rover/mini	MINI
Ruf	GT	1	1	ruf/gt	no		GT COUPE
Seres	3	1	1	DROPPED	no		SERES 3
SsangYong	Actyon	1	1	ssangyong/actyon	LIVE	ssangyong/actyon	ACTYON SPORTS
Stelato	S9	1	1	stelato/s9	no		S9
